,Application score,Location score,Cost score,Maturity score,Total score
Flywheel - Short duration,0.0,0.0,0.0,0.0,0.0
Flywheel - Long duration,0.0,0.4,0.5389963887241955,0.5,0.0
Compressed-air energy storage,0.6711690533525498,0.0,0.0,0.8,0.0
Pumped hydro storage,0.8527729686650724,0.0,0.0,1.0,0.0
Nickel,0.34737484340411545,0.3,0.7049700387733522,0.5,0.43778922737438514
Zinc,0.5940026267016217,0.3,0.7320108337603397,0.3,0.4447716485784442
Flow battery - Zinc bromide,0.38860439607344077,0.5,0.6133840397472858,0.6,0.517118837975542
Flow battery - Iron,0.38860439607344077,0.5,0.6644076805527872,0.6,0.5275527631247102
Vanadium redox flow,0.5825186911531856,0.5,0.5367686527106817,0.6,0.5534196383466914
Lead-carbon,0.32088992716597936,0.8,0.600817111271329,0.8,0.5926790661042689
Lead-acid,0.3195472757841879,0.8,0.6887052341597796,0.8,0.612614284653536
Lithium-ion nickel-manganese-cobalt,0.3863709881537942,1.0,0.6851661527920521,1.0,0.7172987967673157
Lithium-ion,0.4580934602711467,1.0,0.6025548324897566,1.0,0.7248325140936973
Lithium-ion iron phosphate,0.4580934602711467,1.0,0.6904885206283445,1.0,0.7499419344080219
Sodium,0.6799632668994364,1.0,0.6944926731022987,0.8,0.7839904577870959
